m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,obs_date,rating_cnt_strong_buys,rating_cnt_mod_buys,rating_cnt_holds,rating_cnt_mod_sells,rating_cnt_strong_sells,rating_mean_recom,rating_cnt_with,rating_cnt_without
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-12-12,5,0,8,0,0,2.2,13,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-11-30,5,0,7,0,0,2.2,12,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-11-21,6,0,6,0,0,2.0,12,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-11-05,7,0,5,0,0,1.8,12,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-10-10,8,0,6,0,0,1.9,14,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-07-25,8,0,7,0,0,1.9,15,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-07-18,8,0,8,0,0,2.0,16,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-07-10,8,0,7,0,0,1.9,15,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-07-02,7,0,7,0,0,2.0,14,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-04-23,8,0,7,0,0,1.9,15,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-04-20,9,0,7,0,0,1.9,16,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-04-19,9,0,8,0,0,1.9,17,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-04-10,9,0,9,0,0,2.0,18,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-02-26,8,0,9,0,0,2.1,17,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-02-23,8,0,9,0,1,2.2,18,0
GS&,GS,The Goldman Sachs Group,,NYSE,USD,2018-01-02,8,0,10,0,1,2.3,19,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-12-19,6,1,7,0,0,2.1,14,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-12-13,5,1,7,0,0,2.2,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-10-31,5,1,6,0,1,2.3,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-10-30,4,1,7,0,1,2.5,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-10-09,3,1,8,0,1,2.6,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-10-08,4,1,7,0,1,2.5,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-10-02,3,1,8,0,1,2.6,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-07-23,3,0,9,0,1,2.7,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-07-16,3,0,8,0,1,2.7,12,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-07-12,3,0,9,0,1,2.7,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-06-26,3,0,8,0,1,2.7,12,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-05-14,3,0,7,0,2,2.8,12,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-04-25,2,0,7,0,2,3.0,11,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-03-30,2,1,7,0,2,2.9,12,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-02-15,2,1,7,0,3,3.1,13,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-01-22,2,1,6,0,3,3.1,12,0
GE,GE,GE AEROSPACE,,NYSE,USD,2018-01-19,3,1,5,0,3,2.9,12,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-10-29,8,0,6,0,0,1.9,14,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-10-19,9,0,6,0,0,1.8,15,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-10-02,10,0,5,0,0,1.7,15,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-26,10,0,4,0,0,1.6,14,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-21,11,0,3,0,0,1.4,14,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-20,10,0,3,0,0,1.5,13,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-14,11,0,3,0,0,1.4,14,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-13,12,0,3,0,0,1.4,15,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-06,12,0,4,0,0,1.5,16,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-09-03,14,0,4,0,0,1.4,18,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-07-23,15,0,4,0,0,1.4,19,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-03-28,16,0,4,0,0,1.4,20,0
DOW,DD,DuPont de Nemours,,NYSE,USD,2018-01-31,15,0,4,0,0,1.4,19,0
DIS,DIS,Disney,,NYSE,USD,2018-12-07,8,1,3,0,1,1.8,13,0
DIS,DIS,Disney,,NYSE,USD,2018-11-27,8,1,4,0,1,1.9,14,0
DIS,DIS,Disney,,NYSE,USD,2018-11-12,7,1,5,0,1,2.0,14,0
DIS,DIS,Disney,,NYSE,USD,2018-11-09,6,1,5,0,1,2.1,13,0
DIS,DIS,Disney,,NYSE,USD,2018-11-02,6,1,4,0,1,2.0,12,0
DIS,DIS,Disney,,NYSE,USD,2018-10-19,6,1,5,0,1,2.1,13,0
DIS,DIS,Disney,,NYSE,USD,2018-10-15,5,1,5,0,1,2.2,12,0
DIS,DIS,Disney,,NYSE,USD,2018-09-25,5,1,7,0,1,2.3,14,0
DIS,DIS,Disney,,NYSE,USD,2018-08-13,4,1,8,0,1,2.5,14,0
DIS,DIS,Disney,,NYSE,USD,2018-08-07,4,1,9,0,1,2.5,15,0
DIS,DIS,Disney,,NYSE,USD,2018-06-28,3,1,9,0,1,2.6,14,0
DIS,DIS,Disney,,NYSE,USD,2018-06-20,3,1,8,0,1,2.6,13,0
DIS,DIS,Disney,,NYSE,USD,2018-06-18,4,1,8,0,1,2.5,14,0
DIS,DIS,Disney,,NYSE,USD,2018-06-13,4,1,9,0,0,2.3,14,0
DIS,DIS,Disney,,NYSE,USD,2018-05-01,5,1,9,0,0,2.2,15,0
DIS,DIS,Disney,,NYSE,USD,2018-04-30,6,0,9,0,0,2.2,15,0
DIS,DIS,Disney,,NYSE,USD,2018-04-25,6,1,9,0,0,2.2,16,0
DIS,DIS,Disney,,NYSE,USD,2018-04-17,6,1,8,0,1,2.3,16,0
DIS,DIS,Disney,,NYSE,USD,2018-04-02,6,1,7,0,2,2.4,16,0
DIS,DIS,Disney,,NYSE,USD,2018-03-16,7,1,7,0,2,2.4,17,0
DIS,DIS,Disney,,NYSE,USD,2018-02-08,6,1,8,0,2,2.5,17,0
